Price,Close,High,Low,Open,Volume
Ticker,AGG,AGG,AGG,AGG,AGG
Date,,,,,
2005-01-03,52.273006439208984,52.34957900377265,52.13007306249944,52.24237507659807,479600
2005-01-04,52.2219123840332,52.32400644851621,52.10450070470273,52.30358685669183,190500
2005-01-05,52.201534271240234,52.24747546837052,52.09943623099182,52.170902911844706,69900
2005-01-06,52.237239837646484,52.257659434839276,52.16066732183352,52.2168202404537,75400
2005-01-07,52.2219123840332,52.293379008099095,52.124920296527115,52.267853544658884,137000
2005-01-10,52.19641876220703,52.23215209603853,52.119846219813425,52.23215209603853,69500
2005-01-11,52.26785659790039,52.32911537695198,52.18107624855664,52.2831703190035,78600
2005-01-12,52.34444046020508,52.36996203603706,52.1964012996756,52.28828754087872,119100
2005-01-13,52.47209548950195,52.49761708258414,52.339369963689656,52.395522920970144,62400
2005-01-14,52.283206939697266,52.431246171783634,52.257685351529055,52.410826564463946,124200
2005-01-18,52.42103576660156,52.42613774720201,52.206631847490584,52.34446321653633,86600
2005-01-19,52.497562408447266,52.502668279603185,52.36994289201914,52.46182909963293,88300
2005-01-20,52.56907272338867,52.58438645381267,52.375088418974016,52.472080571181344,98400
2005-01-21,52.594573974609375,52.60478572070489,52.50779360599756,52.52310733050083,85200
2005-01-24,52.60478591918945,52.62009964375049,52.528213401744225,52.59968004612243,85200
2005-01-25,52.51289749145508,52.56394453608051,52.4618465521898,52.54863081215687,79600
2005-01-26,52.487388610839844,52.548647420535566,52.45165527884428,52.548647420535566,95100
2005-01-27,52.41593933105469,52.43125306489728,52.344472643361,52.42104520721634,83900
2005-01-28,52.594573974609375,52.59457397460938,52.45674655944003,52.52310733050083,79400
2005-01-31,52.52822494506836,52.58947985677357,52.45165241079595,52.58947985677357,113800
2005-02-01,52.584049224853516,52.62501144829329,52.48164757262672,52.48164757262672,98400
2005-02-02,52.624977111816406,52.63521961417969,52.53281412239726,52.594257417466714,203100
2005-02-03,52.558406829833984,52.558406829833984,52.450884012965595,52.52768323475061,52500
2005-02-04,52.77861785888672,52.84517854222952,52.5840492506387,52.799098970616654,52800
2005-02-07,52.788848876953125,52.855413457104675,52.64036376802469,52.793970130742956,68900
2005-02-08,52.819557189941406,52.86563674158304,52.69667057282184,52.80419343302325,114900
2005-02-09,52.96290588378906,52.993625576113686,52.78881851241996,52.86050039875729,90600
2005-02-10,52.691551208496094,52.90659692066144,52.691551208496094,52.90659692066144,134500
2005-02-11,52.76323699951172,52.79395670169245,52.63523303193053,52.79395670169245,73700
2005-02-14,52.77350997924805,52.80422970144221,52.660865789371265,52.70182802321257,99200
2005-02-15,52.67108154296875,52.77860442239801,52.589157116905525,52.589157116905525,139700
2005-02-16,52.609642028808594,52.77860824000702,52.532838850411856,52.77860824000702,75000
2005-02-17,52.584049224853516,52.64549256001318,52.48164757262672,52.56357201950627,90400
2005-02-18,52.59938049316406,52.60961908951241,52.47137655377352,52.48673640148115,94000
2005-02-22,52.45094680786133,52.507268908846065,52.37926484413057,52.49702639609936,103500
2005-02-23,52.47649002075195,52.53281206243121,52.40480813250016,52.52769081145039,128300
2005-02-24,52.42525863647461,52.52254281648889,52.38429646527201,52.52254281648889,83600
2005-02-25,52.471378326416016,52.471378326416016,52.33825313116882,52.45601457181913,66800
2005-02-28,52.3331184387207,52.481603444058464,52.256315310943336,52.47136484999385,359800
2005-03-01,52.295654296875,52.3367318438817,52.2135031202321,52.2135031202321,125000
2005-03-02,52.22895431518555,52.31624124492364,52.17247361538464,52.17247361538464,171000
2005-03-03,52.27000045776367,52.34701598627907,52.14163602040902,52.34188422929254,120700
2005-03-04,52.418888092041016,52.48050441851243,52.31619813195953,52.393217560706084,585500
2005-03-07,52.434329986572266,52.51134554917219,52.3265042815589,52.444597422461094,203000
2005-03-08,52.321353912353516,52.347024453553686,52.24433445400827,52.316218237164534,96600
2005-03-09,52.00297546386719,52.21349492119095,51.95676616876872,52.1980918228248,110600
2005-03-10,51.941383361816406,52.09028264910478,51.890034457376096,52.09028264910478,173000
2005-03-11,51.982460021972656,52.05947946573764,51.854095588154905,52.05947946573764,87600
2005-03-14,51.9619140625,51.98758851266457,51.823282216776185,51.93624352970653,129900
2005-03-15,51.972164154052734,52.069722323933654,51.884877326985325,52.06458665252689,108000
2005-03-16,52.00811004638672,52.11079997825665,51.879745672864395,51.97216817849526,94600
2005-03-17,51.997867584228516,52.146770810304886,51.915716376576846,52.11082892245004,191700
2005-03-18,51.9619140625,52.013262962829145,51.83354964641935,51.96191406250001,80800
2005-03-21,51.9619140625,52.02866606597944,51.90543340603483,52.02866606597944,106700
2005-03-22,51.67951965332031,52.07488036911831,51.59223278218421,52.06461293849055,181500
2005-03-23,51.74626541137695,51.74626541137695,51.474133462246236,51.658978544178666,158800
2005-03-24,51.777069091796875,51.85408852507098,51.628169816137,51.679514799196035,101500
2005-03-28,51.674407958984375,51.71548553530053,51.55631482379206,51.71548553530053,83100
2005-03-29,51.64354705810547,51.79245017657117,51.607605196225414,51.75137264374564,270600
2005-03-30,51.79758834838867,51.910549618971345,51.65382088305421,51.85920465526185,51600
2005-03-31,51.823280334472656,51.997854053663424,51.75653225078871,51.977319195122945,128100
2005-04-01,52.12880325317383,52.164867695833124,51.891807782737075,52.159714509530524,96200
2005-04-04,52.066978454589844,52.15971615731909,51.93302705232616,52.08243408325646,387300
2005-04-05,51.963966369628906,52.06700657019994,51.90729308009533,52.06700657019994,46500
2005-04-06,52.09787368774414,52.133938117729095,51.9793740288061,52.10817612599924,279600
2005-04-07,52.036075592041016,52.25246228974159,52.03607559204102,52.19578902166808,235900
2005-04-08,52.036075592041016,52.07214004165778,51.90727342473399,52.03092240474428,130600
2005-04-11,52.133941650390625,52.1493972741846,51.96392192720019,52.06181278553317,82200
2005-04-12,52.2782096862793,52.35033856535631,52.036061050494006,52.08242793101675,150600
2005-04-13,52.350345611572266,52.401865684886154,52.23184590529367,52.38641005596495,74600
2005-04-14,52.39669418334961,52.4224561763664,52.26274282570143,52.37608930581009,185600
2005-04-15,52.58219909667969,52.58219909667968,52.35035675206485,52.515223380191735,146900
2005-04-18,52.5203857421875,52.602817105284956,52.41219236708581,52.59766391673788,153400
2005-04-19,52.587337493896484,52.65431319154721,52.40186209807823,52.48429735432162,100600
2005-04-20,52.623416900634766,52.62857008829776,52.40187699989183,52.52037673175779,114900
2005-04-21,52.4946174621582,52.60796401227304,52.40187973303978,52.40187973303978,109500
2005-04-22,52.60280990600586,52.61311628168948,52.42764082669063,52.577051828258064,44100
2005-04-25,52.58219909667969,52.59765472888994,52.479158928124306,52.55128783225916,63400
2005-04-26,52.453399658203125,52.61311703774934,52.45339965820312,52.61311703774934,68800
2005-04-27,52.669761657714844,52.736737341260266,52.52035073528716,52.68006409721085,70500
2005-04-28,52.803741455078125,52.803741455078125,52.597657177642375,52.65433045220547,75900
2005-04-29,52.71610641479492,52.783082070241086,52.57700192095229,52.710953231844634,151000
2005-05-02,52.718196868896484,52.77505571734904,52.645831778793536,52.769885655598365,54800
2005-05-03,52.68202590942383,52.75956107832862,52.54763582316485,52.75956107832862,708100
2005-05-04,52.738887786865234,52.769900278759955,52.542468765527424,52.682028922656414,63900
2005-05-05,52.77510070800781,52.878482313145796,52.67172304647483,52.77510070800781,86400
2005-05-06,52.57866287231445,52.64585793405025,52.480451368266785,52.63552174901535,70000
2005-05-09,52.53727340698242,52.547613528370654,52.4700783923623,52.53210334628832,70300
2005-05-10,52.594173431396484,52.69755106463088,52.50113198404396,52.656202377499476,133700
2005-05-11,52.68202590942383,52.795743631337196,52.588984495458575,52.73888477038051,75900
2005-05-12,52.80608367919922,52.811249798476744,52.542465682752876,52.64067321585837,83400
2005-05-13,52.857765197753906,52.89911386429218,52.78540010180948,52.857765197753906,52900
2005-05-16,52.78025817871094,52.883635815573925,52.764751927541894,52.85779337816021,82800
